Metric,Step,Value,Wall_time
Loss/Total,5850,2.240896701812744,1766254381.7021377
Loss/Total,5900,2.497750997543335,1766254494.4161687
Loss/Total,5950,2.1062867641448975,1766254606.035668
Loss/Total,6000,2.2621889114379883,1766254717.0421052
Loss/Total,6050,2.4981627464294434,1766254831.709777
Loss/Total,6100,2.3394856452941895,1766254947.8931117
Loss/Total,6150,2.407547950744629,1766255059.1289341
Loss/Total,6200,2.23882794380188,1766255172.197211
Loss/Total,6250,2.526233673095703,1766255282.2562845
Loss/Total,6300,2.0942938327789307,1766255395.0163095
Loss/Total,6350,2.1454038619995117,1766255504.4309049
Loss/Total,6400,2.2301340103149414,1766255618.556043
Loss/Total,6450,2.1630442142486572,1766255734.976676
Loss/Total,6500,2.0331859588623047,1766255847.4218028
Loss/Total,6550,2.240334987640381,1766255962.724843
Loss/Total,6600,2.111489772796631,1766256073.201174
Loss/Total,6650,2.2754344940185547,1766256185.7264693
Loss/Total,6700,1.9753202199935913,1766256299.7673697
Loss/Total,6750,2.408618211746216,1766256415.2262325
Loss/Total,6800,2.355015516281128,1766256524.1732547
Loss/Total,6850,2.268923282623291,1766256636.9438882
Loss/Total,6900,2.1726365089416504,1766256751.87094
Loss/Total,6950,2.2271745204925537,1766256863.3757946
Loss/Total,7000,2.066793441772461,1766256976.7812724
Loss/Total,7050,2.3925578594207764,1766257087.7769551
Loss/Total,7100,2.254107713699341,1766257198.591926
Loss/Total,7150,2.0696027278900146,1766257308.4486878
Loss/Total,7200,2.1301074028015137,1766257422.0027874
Loss/Total,7250,2.5299649238586426,1766257532.249355
Loss/Total,7300,2.0795748233795166,1766257642.7868178
Loss/Total,7350,2.437375545501709,1766257751.4031327
Loss/Total,7400,2.1863017082214355,1766257862.0088453
Loss/Total,7450,2.2766709327697754,1766257977.4871876
Loss/Total,7500,2.0876758098602295,1766258086.4128346
Loss/Total,7550,2.515833616256714,1766258197.4201136
Loss/Total,7600,2.2285406589508057,1766258307.1715474
Loss/Total,7650,2.545696496963501,1766258417.207705
Loss/Total,7700,2.0508172512054443,1766258528.7175033
Loss/Total,7750,2.2938528060913086,1766258640.2483997
Loss/Total,7800,2.0354835987091064,1766258756.7827418
Loss/Total,7850,2.1225717067718506,1766258869.4785182
Loss/Total,7900,2.1668589115142822,1766258983.9430103
Loss/Total,7950,2.180520534515381,1766259096.5241766
Loss/Total,8000,1.9449577331542969,1766259209.9856505
Loss/Total,8050,1.870825171470642,1766259322.3272524
Loss/Total,8100,1.9688800573349,1766259433.0505426
Loss/Total,8150,2.098599672317505,1766259543.2817373
Loss/Total,8200,1.9744949340820312,1766259655.5102565
Loss/Total,8250,2.2670176029205322,1766259767.0045156
Loss/Total,8300,2.07619047164917,1766259879.3555803
Loss/Total,8350,2.1854472160339355,1766259990.8123012
Loss/Total,8400,2.356630325317383,1766260100.6129532
Loss/Total,8450,1.9758269786834717,1766260217.000044
Loss/Total,8500,2.056952476501465,1766260328.9520285
Loss/Total,8550,1.992795705795288,1766260441.3850899
Loss/Total,8600,1.790755271911621,1766260550.6618624
Loss/Total,8650,1.984470009803772,1766260663.1664412
Loss/Total,8700,2.0857980251312256,1766260775.828363
Loss/Total,8750,1.801737904548645,1766260888.8039644
Loss/Total,8800,2.1696243286132812,1766261004.3716145
Loss/Total,8850,2.450610637664795,1766261118.1323977
Loss/Total,8900,2.1358487606048584,1766261230.3922942
Loss/Total,8950,2.1508309841156006,1766261343.7934356
Loss/Total,9000,2.1896986961364746,1766261460.8565993
Loss/Total,9050,2.0508594512939453,1766261576.0473247
Loss/Total,9100,2.1111092567443848,1766261690.9851553
Loss/Total,9150,2.000761032104492,1766261803.724251
Loss/Total,9200,2.0540716648101807,1766261917.739301
Loss/Total,9250,2.152280807495117,1766262031.4298272
Loss/Total,9300,2.4649908542633057,1766262145.698809
Loss/Total,9350,2.052546501159668,1766262260.1690364
Loss/Total,9400,1.9317834377288818,1766262371.8481746
Loss/Total,9450,2.010089874267578,1766262481.9955564
Loss/Total,9500,2.2400007247924805,1766262592.9440594
Loss/Total,9550,1.9352192878723145,1766262703.9215455
Loss/Total,9600,1.9798258543014526,1766262814.9575994
Loss/Total,9650,1.8597438335418701,1766262927.3263896
Loss/Total,9700,2.0968284606933594,1766263037.3632112
Loss/Total,9750,2.0317609310150146,1766263150.2545812
Loss/Total,9800,2.2615411281585693,1766263263.1226602
Loss/Total,9850,1.8230984210968018,1766263376.148475
Loss/Total,9900,1.9205856323242188,1766263487.406337
Loss/Total,9950,1.9230751991271973,1766263603.1657114
Loss/Total,10000,1.7631797790527344,1766263715.3953161
Loss/Total,10050,1.930498480796814,1766263823.7187614
Loss/Total,10100,1.992519736289978,1766263937.2533765
Loss/Total,10150,2.126246452331543,1766264050.7993338
Loss/Total,10200,1.8154300451278687,1766264162.2944689
Loss/Total,10250,2.0454325675964355,1766264270.717691
Loss/Total,10300,1.840749979019165,1766264386.6176312
Loss/Total,10350,1.8838402032852173,1766264501.683905
Loss/Total,10400,1.774627447128296,1766264612.700911
Loss/Total,10450,1.8543999195098877,1766264725.7346702
Loss/Total,10500,2.1550440788269043,1766264841.540385
Loss/Total,10550,1.849750280380249,1766264953.1393514
Loss/Total,10600,1.984020471572876,1766265066.0297008
Loss/Total,10650,2.3184666633605957,1766265176.0999267
Loss/Total,10700,1.898742437362671,1766265287.4468307
Loss/Total,10750,1.8532071113586426,1766265402.6402407
Loss/Total,10800,1.8685299158096313,1766265518.1843452
Loss/Total,10850,1.8361313343048096,1766265629.8661668
Loss/Total,10900,1.7619011402130127,1766265744.34188
Loss/Total,10950,1.7606604099273682,1766265857.8953195
Loss/Total,11000,1.9627008438110352,1766265968.8065994
Loss/Total,11050,1.975663661956787,1766266081.561029
Loss/Total,11100,1.89753258228302,1766266196.6299105
Loss/Total,11150,1.91556715965271,1766266307.1194255
Loss/Total,11200,1.9150946140289307,1766266424.5023544
Loss/Total,11250,1.684730052947998,1766266535.2246115
Loss/Total,11300,1.7994914054870605,1766266650.0225394
Loss/Total,11350,1.9139286279678345,1766266761.4205081
Loss/Total,11400,1.890122413635254,1766266874.5831487
Loss/Total,11450,1.9089964628219604,1766266987.7955651
Loss/Total,11500,2.056220769882202,1766267097.892136
Loss/Total,11550,1.9576994180679321,1766267212.3889415
Loss/Total,11600,1.9477672576904297,1766267326.3098123
Loss/Total,11650,1.825701117515564,1766267436.5231683
Loss/Total,11700,1.7914540767669678,1766267546.9654517
Loss/Total,11750,2.0779426097869873,1766267660.741016
Loss/Total,11800,1.8264107704162598,1766267773.1560361
Loss/Total,11850,1.9735143184661865,1766267889.2541018
Loss/Total,11900,2.1850836277008057,1766268004.680843
Loss/Total,11950,1.7641088962554932,1766268117.4775572
Loss/Total,12000,2.0003132820129395,1766268229.4081504
Loss/Total,12050,2.0531628131866455,1766268341.161256
Loss/Total,12100,1.7864445447921753,1766268455.5476208
Loss/Total,12150,1.8069846630096436,1766268568.8686388
Loss/Total,12200,1.8042116165161133,1766268684.6278114
Loss/Total,12250,2.0250985622406006,1766268798.15692
Loss/Total,12300,1.9253671169281006,1766268909.8939953
Loss/Total,12350,1.8851858377456665,1766269022.5103686
Loss/Total,12400,2.1013882160186768,1766269138.608504
Loss/Total,12450,1.861016035079956,1766269252.4342375
Loss/Total,12500,1.7368781566619873,1766269365.1436136
Loss/Total,12550,1.7416975498199463,1766269478.306319
Loss/Total,12600,1.830808162689209,1766269591.3252528
Loss/Total,12650,1.8183878660202026,1766269709.48841
Loss/Total,12700,1.8465895652770996,1766269822.2093706
Loss/Total,12750,1.8090038299560547,1766269935.2370012
Loss/Total,12800,1.9488492012023926,1766270049.1615844
Loss/Total,12850,1.9192824363708496,1766270165.2650812
Loss/Total,12900,2.119778871536255,1766270273.6213565
Loss/Total,12950,2.0319838523864746,1766270381.5598924
Loss/Total,13000,1.8460891246795654,1766270497.7043233
Loss/Total,13050,1.7184096574783325,1766270610.8384979
Loss/Total,13100,1.7055644989013672,1766270721.345972
Loss/Total,13150,1.6467177867889404,1766270834.7945704
Loss/Total,13200,1.9383798837661743,1766270948.0334594
Loss/Total,13250,1.7491531372070312,1766271062.7066467
Loss/Total,13300,1.8807671070098877,1766271173.2003665
Loss/Total,13350,1.9008315801620483,1766271289.3069384
Loss/Total,13400,1.8292443752288818,1766271399.6311476
Loss/Total,13450,1.7895655632019043,1766271511.8697793
Loss/Total,13500,1.7970472574234009,1766271621.465172
Loss/Total,13550,1.8828918933868408,1766271731.9521613
Loss/Total,13600,1.7929457426071167,1766271846.2567365
Loss/Total,13650,1.769535779953003,1766271959.755135
Loss/Total,13700,1.7932339906692505,1766272071.3735662
Loss/Total,13750,1.8018063306808472,1766272181.6380196
Loss/Total,13800,1.8125431537628174,1766272292.8257334
Loss/Total,13850,1.8382315635681152,1766272405.1971276
Loss/Total,13900,1.849043607711792,1766272513.4311504
Loss/Total,13950,1.9632833003997803,1766272627.2592719
Loss/Total,14000,1.753178596496582,1766272742.54333
Loss/Total,14050,2.189615249633789,1766272857.8697314
Loss/Total,14100,1.8690268993377686,1766272967.9688323
Loss/Total,14150,1.6304187774658203,1766273082.3260145
Loss/Total,14200,1.6553723812103271,1766273195.727101
Loss/Total,14250,1.5483427047729492,1766273308.8325095
Loss/Total,14300,1.8322410583496094,1766273420.5301838
Loss/Total,14350,1.8994231224060059,1766273532.8066967
Loss/Total,14400,1.6986966133117676,1766273645.7784712
Loss/Total,14450,1.8415133953094482,1766273757.099621
Loss/Total,14500,1.8278493881225586,1766273867.5448062
Loss/Total,14550,1.7956092357635498,1766273981.2909386
Loss/Total,14600,1.8272299766540527,1766274094.8842466
Loss/Total,14650,1.6480724811553955,1766274207.0430593
Loss/Total,14700,1.6424155235290527,1766274318.9020085
Loss/Total,14750,1.662949800491333,1766274436.1099312
Loss/Total,14800,1.8919764757156372,1766274550.34408
Loss/Total,14850,1.6269865036010742,1766274662.7483785
Loss/Total,14900,1.8155899047851562,1766274776.30665
Loss/Total,14950,1.682335615158081,1766274891.8722525
Loss/Total,15000,1.8391309976577759,1766275007.6659586
Loss/Total,15050,1.75945246219635,1766275119.9804308
Loss/Total,15100,1.6302728652954102,1766275230.5993953
Loss/Total,15150,1.724661111831665,1766275341.7506945
Loss/Total,15200,1.6245626211166382,1766275455.849342
Loss/Total,15250,1.8735764026641846,1766275570.5238335
Loss/Total,15300,1.733898401260376,1766275682.1779273
Loss/Total,15350,1.6991238594055176,1766275797.44172
Loss/Total,15400,1.8399872779846191,1766275909.1007345
Loss/Total,15450,1.6573688983917236,1766276023.548492
Loss/Total,15500,1.666598916053772,1766276131.6978488
Loss/Total,15550,1.7142655849456787,1766276246.1968808
Loss/Total,15600,1.8993834257125854,1766276359.785377
Loss/Total,15650,1.5737481117248535,1766276472.3000538
Loss/Total,15700,1.8232804536819458,1766276586.3342283
Loss/Total,15750,1.8203892707824707,1766276698.332473
Loss/Total,15800,1.9830496311187744,1766276808.9325058
Loss/Total,15850,1.6756858825683594,1766276919.1952817
Loss/Total,15900,1.9118385314941406,1766277033.8119931
Loss/Total,15950,1.8091635704040527,1766277145.0230536
Loss/Total,16000,1.7101898193359375,1766277257.9416096
Loss/Total,16050,1.5939902067184448,1766277370.3142948
Loss/Total,16100,1.78826904296875,1766277484.7903135
Loss/Total,16150,1.6925159692764282,1766277598.4955347
Loss/Total,16200,1.7504582405090332,1766277711.5363524
Loss/Total,16250,1.7483774423599243,1766277825.904941
Loss/Total,16300,1.8826617002487183,1766277939.5514565
Loss/Total,16350,1.7783312797546387,1766278053.201912
Loss/Total,16400,1.93841552734375,1766278165.5232017
Loss/Total,16450,1.828321933746338,1766278278.7790604
Loss/Total,16500,1.934833288192749,1766278391.8321185
Loss/Total,16550,1.5875732898712158,1766278506.335831
Loss/Total,16600,1.804538607597351,1766278622.9902413
Loss/Total,16650,1.754048228263855,1766278734.8217602
Loss/Total,16700,1.7668838500976562,1766278851.2951343
Loss/Total,16750,1.7429828643798828,1766278963.3775773
Loss/Total,16800,1.5975106954574585,1766279075.8794422
Loss/Total,16850,1.638168454170227,1766279189.7785168
Loss/Total,16900,1.7636395692825317,1766279305.6352115
Loss/Total,16950,1.9439728260040283,1766279417.561001
Loss/Total,17000,1.6568474769592285,1766279531.5442371
Loss/Total,17050,1.6601238250732422,1766279642.017474
Loss/Total,17100,1.815335988998413,1766279754.2862103
Loss/Total,17150,1.6925179958343506,1766279868.4889894
Loss/Total,17200,1.6269612312316895,1766279980.9367483
Loss/Total,17250,1.845041036605835,1766280093.5908306
Loss/Total,17300,1.5384272336959839,1766280208.3303616
Loss/Total,17350,1.6580649614334106,1766280317.126896
Loss/Total,17400,1.6890430450439453,1766280426.2837145
Loss/Total,17450,1.6030713319778442,1766280543.8699582
Loss/Total,17500,1.9056434631347656,1766280659.5755682
Loss/Total,17550,1.7472164630889893,1766280770.2986274
Loss/Total,17600,1.9650262594223022,1766280882.9460568
Loss/Total,17650,1.7791783809661865,1766280996.0780852
Loss/Total,17700,1.6130707263946533,1766281114.1185126
Loss/Total,17750,1.6845002174377441,1766281227.3426554
Loss/Total,17800,1.7907731533050537,1766281339.0117283
Loss/Total,17850,1.7089571952819824,1766281452.8948812
Loss/Total,17900,1.7470171451568604,1766281569.915441
Loss/Total,17950,1.6911283731460571,1766281679.3793633
Loss/Total,18000,1.814600944519043,1766281798.499035
Loss/Total,18050,1.8051586151123047,1766281909.6811893
Loss/Total,18100,1.5606343746185303,1766282023.5018828
Loss/Total,18150,1.6608290672302246,1766282136.9404147
Loss/Total,18200,1.711960792541504,1766282251.2737339
Loss/Total,18250,1.7680637836456299,1766282359.4457986
Loss/Total,18300,1.5489532947540283,1766282473.0060494
Loss/Total,18350,1.7168151140213013,1766282587.7430797
Loss/Total,18400,1.8877294063568115,1766282704.8048937
Loss/Total,18450,1.567753791809082,1766282814.7467313
Loss/Total,18500,1.84649658203125,1766282926.4483314
Loss/Total,18550,1.7291932106018066,1766283042.6350102
Loss/Total,18600,1.7734512090682983,1766283156.0410118
Loss/Total,18650,1.7199574708938599,1766283267.6370413
Loss/Total,18700,1.8103032112121582,1766283377.7810216
Loss/Total,18750,1.6757919788360596,1766283491.750816
Loss/Total,18800,1.7561060190200806,1766283606.1817458
Loss/Total,18850,1.5871529579162598,1766283716.7412727
Loss/Total,18900,1.6413161754608154,1766283830.9561744
Loss/Total,18950,1.749196171760559,1766283942.5890393
Loss/Total,19000,1.7714200019836426,1766284054.0877588
Loss/Total,19050,1.5292788743972778,1766284165.9045908
Loss/Total,19100,1.7446956634521484,1766284275.0512192
Loss/Total,19150,1.5146534442901611,1766284386.8800566
Loss/Total,19200,1.5665165185928345,1766284496.2509522
Loss/Total,19250,1.735640525817871,1766284608.4976692
Loss/Total,19300,1.6312421560287476,1766284723.7161763
Loss/Total,19350,1.7131954431533813,1766284836.7323318
Loss/Total,19400,1.6800440549850464,1766284951.459062
Loss/Total,19450,1.5592832565307617,1766285066.5364864
Loss/Total,19500,1.8561451435089111,1766285175.9101374
Loss/Total,19550,1.4614742994308472,1766285289.5836623
Loss/Total,19600,1.6679069995880127,1766285405.0796692
Loss/Total,19650,1.6711748838424683,1766285519.8506289
Loss/Total,19700,1.7488276958465576,1766285632.7040176
Loss/Total,19750,1.6772968769073486,1766285747.5792756
Loss/Total,19800,1.650627613067627,1766285860.325731
Loss/Total,19850,1.7213804721832275,1766285972.2359195
Loss/Total,19900,1.7246956825256348,1766286081.269168
Loss/Total,19950,1.8428730964660645,1766286196.5761538
Loss/Total,20000,1.6563245058059692,1766286308.964407
Loss/Total,20050,1.9030894041061401,1766286423.5691335
Loss/Total,20100,1.7425838708877563,1766286535.8202765
Loss/Total,20150,1.58192777633667,1766286649.9009151
Loss/Total,20200,1.885822057723999,1766286763.110726
Loss/Total,20250,1.6869730949401855,1766286871.6822212
Loss/Total,20300,1.4250574111938477,1766286986.8021433
Loss/Total,20350,1.5024583339691162,1766287102.0708086
Loss/Total,20400,1.5428547859191895,1766287216.449668
Loss/Total,20450,1.844728946685791,1766287327.3035922
Loss/Total,20500,1.5623230934143066,1766287438.6493878
Loss/Total,20550,1.7171504497528076,1766287552.9915771
Loss/Total,20600,1.799991488456726,1766287668.4455202
Loss/Total,20650,1.5583950281143188,1766287782.653159
Loss/Total,20700,1.6592562198638916,1766287894.644964
Loss/Total,20750,1.6881625652313232,1766288007.6779518
Loss/Total,20800,1.5597835779190063,1766288120.4694722
Loss/Total,20850,1.5946638584136963,1766288230.8906655
Loss/Total,20900,1.5231784582138062,1766288346.2395177
Loss/Total,20950,1.5258914232254028,1766288459.8623362
Loss/Total,21000,1.6569817066192627,1766288573.9809587
Loss/Total,21050,1.7501132488250732,1766288687.6623085
Loss/Total,21100,1.6433144807815552,1766288800.7773328
Loss/Total,21150,1.6879994869232178,1766288911.5559978
Loss/Total,21200,1.6682415008544922,1766289021.4578507
Loss/Total,21250,1.749623417854309,1766289133.9532075
Loss/Total,21300,1.703599452972412,1766289247.076693
Loss/Total,21350,1.7861263751983643,1766289357.9511685
Loss/Total,21400,1.5628403425216675,1766289466.7269933
Loss/Total,21450,1.6707963943481445,1766289579.9443102
Loss/Total,21500,1.4462053775787354,1766289696.1935992
Loss/Total,21550,1.5727479457855225,1766289807.4996173
Loss/Total,21600,1.5474154949188232,1766289920.8035583
Loss/Total,21650,1.6735584735870361,1766290034.377311
Loss/Total,21700,1.5736258029937744,1766290147.92886
Loss/Total,21750,1.5468389987945557,1766290257.0655496
Loss/Total,21800,1.544138789176941,1766290368.1980364
Loss/Total,21850,1.7449727058410645,1766290478.7995946
Loss/Total,21900,1.579400658607483,1766290593.329673
Loss/Total,21950,1.5456290245056152,1766290706.6101274
Loss/Total,22000,1.6307461261749268,1766290820.4021876
Loss/Total,22050,1.767086148262024,1766290936.0114868
Loss/Total,22100,1.7292590141296387,1766291051.6335733
Loss/Total,22150,1.8320677280426025,1766291165.8618948
Loss/Total,22200,1.6896835565567017,1766291278.6644025
Loss/Total,22250,1.6585819721221924,1766291390.1676376
Loss/Total,22300,1.6725749969482422,1766291507.2524712
Loss/Total,22350,1.4360170364379883,1766291619.2628634
Loss/Total,22400,1.4522639513015747,1766291729.8590488
Loss/Total,22450,1.5462126731872559,1766291845.8359134
Loss/Total,22500,1.7591882944107056,1766291956.7488246
Loss/Total,22550,1.511383295059204,1766292071.8253036
Loss/Total,22600,1.4408984184265137,1766292184.8986678
Loss/Total,22650,1.5608232021331787,1766292295.1195464
Loss/Total,22700,1.7791321277618408,1766292410.6003742
Loss/Total,22750,1.7625921964645386,1766292523.2576482
Loss/Total,22800,1.806206226348877,1766292637.4229941
Loss/Total,22850,1.614837646484375,1766292749.258582
Loss/Total,22900,1.4768610000610352,1766292862.6728473
Loss/Total,22950,1.5132372379302979,1766292975.2769015
Loss/Total,23000,1.6425154209136963,1766293087.3657758
Loss/Total,23050,1.515601634979248,1766293195.5762358
Loss/Total,23100,1.7414765357971191,1766293310.9554815
Loss/Total,23150,1.414044737815857,1766293422.4308004
Loss/Total,23200,1.6324210166931152,1766293536.7924936
Loss/Total,23250,1.6880297660827637,1766293651.8745852
Loss/Total,23300,1.7893123626708984,1766293763.364649
Loss/Total,23350,1.4726660251617432,1766293878.8876674
Loss/Total,23400,1.4716542959213257,1766293992.615992
Loss/Total,23450,1.4866455793380737,1766294108.8020244
Loss/Total,23500,1.6302285194396973,1766294225.4438777
Loss/Total,23550,1.7504405975341797,1766294336.556602
Loss/Total,23600,1.6273528337478638,1766294449.5669174
Loss/Total,23650,1.8426371812820435,1766294562.256809
Loss/Total,23700,1.6488914489746094,1766294673.8178384
Loss/Total,23750,1.4715063571929932,1766294785.476517
Loss/Total,23800,1.7101788520812988,1766294893.9038596
Loss/Total,23850,1.5685399770736694,1766295005.800197
Loss/Total,23900,1.812034010887146,1766295118.2251651
Loss/Total,23950,1.499230146408081,1766295234.4734583
Loss/Total,24000,1.47870671749115,1766295346.4705896
Loss/Total,24050,1.526285171508789,1766295461.3757641
Loss/Total,24100,1.5958662033081055,1766295575.8251204
Loss/Total,24150,1.6171720027923584,1766295687.2766237
Loss/Total,24200,1.829810619354248,1766295799.7450995
Loss/Total,24250,1.5560317039489746,1766295912.3188818
Loss/Total,24300,1.832296371459961,1766296026.0278833
Loss/Total,24350,1.7166929244995117,1766296139.1993573
Loss/Total,24400,1.4447768926620483,1766296252.1484084
Loss/Total,24450,1.618091344833374,1766296360.516477
Loss/Total,24500,1.6151552200317383,1766296475.0520692
Loss/Total,24550,1.4190335273742676,1766296584.0087168
Loss/Total,24600,1.7271910905838013,1766296700.6679358
Loss/Total,24650,1.3628164529800415,1766296811.933286
Loss/Total,24700,1.7779457569122314,1766296923.62124
Loss/Total,24750,1.6222633123397827,1766297036.0104241
Loss/Total,24800,1.4423953294754028,1766297148.9403234
Loss/Total,24850,1.5490922927856445,1766297263.5029066
Loss/Total,24900,1.5555399656295776,1766297376.3970916
Loss/Total,24950,1.719416618347168,1766297489.2335382
Loss/Total,25000,1.7356308698654175,1766297600.082861
Loss/Total,25050,1.5692296028137207,1766297709.452676
Loss/Total,25100,1.7016222476959229,1766297821.297306
Loss/Total,25150,1.6249048709869385,1766297936.6159518
Loss/Total,25200,1.6067556142807007,1766298044.895463
Loss/Total,25250,1.4707525968551636,1766298156.5173953
Loss/Total,25300,1.537395715713501,1766298266.0715854
Loss/Total,25350,1.6984448432922363,1766298377.469339
